user_id,n_chosen,n_rejected,mean_chosen_length,mean_rejected_length,length_pref_ratio,chosen_length_std,length_score_corr,length_score_p,prefers_longer
user479,15,23,123.66666666666667,79.91304347826087,1.5475154153064925,66.89959308961122,0.27232393306335934,0.09811360709440357,True
user480,17,26,94.6470588235294,90.11538461538461,1.0502874645376716,65.6164803334458,0.23104327413595627,0.13605078057663855,True
user481,17,25,106.76470588235294,89.52,1.1926352310361141,69.6651904061509,-0.11437962891117592,0.4707454462864298,True
user482,21,25,69.61904761904762,79.32,0.8776985327666116,33.277299842494074,-0.18533746068495288,0.21752240752232174,False
user483,14,25,74.35714285714286,79.6,0.9341349605168702,33.26217745397303,-0.06931145627304222,0.6750175007491438,False
user485,12,13,78.75,75.3076923076923,1.0457099080694587,46.55485116147045,0.1924677873727615,0.35666967064183785,True
user486,22,29,47.27272727272727,59.793103448275865,0.7906050120582993,25.016688644658824,-0.17121177873213256,0.2296430481404725,False
user487,16,25,95.8125,76.08,1.259365141955836,55.386391322688645,-0.24032641066782845,0.1301447922415733,True
user488,23,34,100.0,82.02941176470588,1.219074937253496,48.47769545390683,0.18809393335279084,0.16116667312412716,True
user489,67,77,113.73134328358209,104.12987012987013,1.0922067139979823,55.87795391759156,0.18050418606370588,0.030388610777139193,True
user49,23,32,82.1304347826087,80.84375,1.015915698895817,31.189887363118316,0.004567858944158432,0.973596273602114,True
user490,18,28,81.55555555555556,70.0,1.1650793650793652,44.28471296586595,0.01420630238033944,0.9253436331105322,True
user491,24,35,89.75,83.62857142857143,1.0731978134608813,49.230960786886946,0.08488637091616921,0.5226738847076813,True
user492,24,34,80.0,70.94117647058823,1.1276948590381426,40.778875250142285,0.4046798184914978,0.0016280844056019803,True
user494,18,28,109.05555555555556,105.17857142857143,1.036860969628372,67.72942264155235,-0.02998071399733384,0.8432113575895239,True
user495,17,25,72.70588235294117,69.24,1.0500560709552453,94.30162166023905,0.4327910381965636,0.004200894348355838,True
user496,15,23,125.66666666666667,75.43478260869566,1.6658981748318924,74.93256227361299,0.4597243978642569,0.003686980602762891,True
user497,31,42,143.29032258064515,105.9047619047619,1.3530111394755164,43.03801286663738,0.300140491924214,0.009882394367230311,True
user499,13,25,115.92307692307692,77.68,1.4923156143547491,58.10661492657142,0.23730132769894746,0.15141778774330003,True
user5,17,28,78.47058823529412,90.39285714285714,0.8681060729309503,57.064584305915346,-0.2142565939364998,0.15756606019681146,False
user50,21,33,110.28571428571429,108.39393939393939,1.01745277367307,63.58507076735698,0.23133846488351953,0.09235129750865824,True
user500,16,24,73.625,73.375,1.0034071550255537,51.09167618115499,-0.20995273476547396,0.193498153176318,True
user501,27,37,104.11111111111111,90.13513513513513,1.1550558054306181,58.0570175254518,0.04871791637776815,0.7022470558399051,True
user502,19,26,103.73684210526316,98.53846153846153,1.0527548379144585,58.0968720104286,0.26194700782331615,0.08216822799867353,True
user504,18,27,146.0,87.55555555555556,1.66751269035533,62.41082527183174,0.5933545348307673,1.7415429147614785e-05,True
user505,15,27,117.73333333333333,85.4074074074074,1.3784908933217694,56.97656438298898,0.4043226708323548,0.007914662811456634,True
user506,15,25,91.13333333333334,70.72,1.2886500754147814,52.34356587861481,0.2745798192725078,0.08640782282292185,True
user507,16,26,76.25,70.34615384615384,1.083925642427556,49.6657578216622,0.22812885696111304,0.14620540388860082,True
user508,23,34,79.52173913043478,80.02941176470588,0.9936564242685713,55.375296301272165,-0.0745232945046584,0.5816744225005257,False
user509,34,44,81.8529411764706,84.06818181818181,0.9736494760110047,40.767008253460496,-0.07622483032869116,0.5071406134961904,False
user51,22,34,29.818181818181817,36.3235294117647,0.8209054103790946,16.072665569605956,-0.04288649213959692,0.7536432427306283,False
user510,18,26,151.55555555555554,114.92307692307692,1.3187565075115275,84.74879364741045,0.45011466553959123,0.0021715894710504723,True
user511,10,15,54.0,76.4,0.706806282722513,43.034869582700026,-0.40557137779250413,0.044280534859221184,False
user512,26,37,96.53846153846153,73.0,1.322444678609062,49.591586421357626,0.10728017312598595,0.4026614090116434,True
user513,8,13,131.625,84.61538461538461,1.555568181818182,63.54120218409469,0.619503445788997,0.002744605201961021,True
user514,17,26,111.3529411764706,88.15384615384616,1.2631659993840467,61.772772582473195,-0.1024797867588956,0.5131582285085584,True
user515,16,26,108.25,85.6923076923077,1.2632405745062836,64.35594378144104,-0.37236718535690005,0.015164263853581736,True
